id,title,image,author_id,author,description,count,play,add,share,comment
6686195784,"民谣精选|从《你是人间四月天》听起
",D:/Project/Python/week14/result/images/109951165507074454.jpg,309791722,云音乐多多,"
Chill Time丨浸润于夜色中的一抹寂静
",30,11199142,68693,439,106
6630316170,"[北欧民谣] 清新澄澈的北欧风情
",D:/Project/Python/week14/result/images/109951166035809879.jpg,1463586082,云音乐官方歌单,"
Chill Time丨浸润于夜色中的一抹寂静
",50,3086766,17840,147,45
6845593381,"[日本民谣] 歌声轻柔 海风轻拂 一起散步吧
",D:/Project/Python/week14/result/images/109951166153537612.jpg,1463586082,云音乐官方歌单,"介绍：
日本民谣最早作为民俗传统广泛流传于本岛与周边岛屿地区，且受地域风俗影响而各具特色，一众岛屿中最具影响力的便是冲绳人民使用冲绳三线所创造的极具海岛风味的冲绳民谣。

在日本本土演歌盛行之时，由Bob Dylan以及Woody Guthrie等歌手掀起的民谣运动也伴随着美式文化进入到日本本土，掀起了创作符合时代歌曲的热潮，在结合了演歌的演唱方式以及美式吉他的旋律后，带有日本本岛韵味的民谣也由此诞生。

日本民谣常选用季节时日来作为取材，并对人生不同阶段和状态进行追忆，这也为歌曲本身带来了似春日黄昏一般温暖的情绪。
",30,4110094,34008,346,95
6630486540,"[凯尔特民谣] 美妙奇异的凯尔特世界
",D:/Project/Python/week14/result/images/109951165854685117.jpg,1463586082,云音乐官方歌单,"介绍：
凯尔特民族，一个在经过长期不断迁徙拥有特殊文化的民族，他们创造的音乐曲风迥异，以爱尔兰音乐和苏格兰音乐为主，或激扬奔放、强劲有力，或舒缓柔情、浪漫优美，使凯尔特民族充满媚惑力，令人遐思、向往。
",30,2554504,20533,213,105
6666506290,"[民谣复兴] 聆听人文主义的吟唱
",D:/Project/Python/week14/result/images/109951165813954639.jpg,1463586082,云音乐官方歌单,"介绍：
民谣复兴运动起源于20世纪40年代，包括民谣摇滚在内的许多流派都在其中得到了长足发展，如今最为大众熟知的当代民谣也形成于这一时期。
美国民谣复兴运动在60年代传播至英国，随后迷幻等多种音乐元素的融入，令更多小众的民谣流派应运而生。如今，回顾这些民谣音乐，我们仍能听见回荡其中的时代之声和种种情绪。
",110,2219110,6805,59,13
7681103811,"[人间漂流日记] 安放你漂泊的肉体和灵魂
",D:/Project/Python/week14/result/images/109951167954108314.jpg,1463586082,云音乐官方歌单,"
Chill Time丨浸润于夜色中的一抹寂静
",60,476320,1972,15,11
6666416916,"[迷幻民谣] 沉溺于诗意幻觉 
",D:/Project/Python/week14/result/images/109951165813966380.jpg,1463586082,云音乐官方歌单,"介绍：
迷幻民谣诞生于60年代民谣复兴的巅峰时期，承接了迷幻摇滚的致幻元素，但其氛围受益于民谣而更接近于梦境和药物幻觉的效果。许多迷幻民谣在民谣吉他创作的基础之上选择结合中世纪音乐，印度古典音乐等具有传统音乐特点的创作元素，使配器层次更加丰富。

在歌曲的处理上，除了人声多见的空灵唱腔之外，混响的增强和声音扭曲化等调试也在后期非常常见。歌曲内涵方面，除了对情感的探讨，邪典文化和神秘主义，包括对自然的歌颂等也有涉及。

迷幻民谣问世为民谣音乐开辟新道路带来了更多可能性，同时也为日后另类音乐的发展带来了启发。
",60,1652098,3871,22,17
5320294514,"[独立民谣] 城市喧嚣之外 我们要找到心绪的落脚
",D:/Project/Python/week14/result/images/109951166035813957.jpg,1463586082,云音乐官方歌单,"
Chill Time丨浸润于夜色中的一抹寂静
",30,15327966,93978,1338,280
7461646215,"[她力量] 手握麦克风的她们势不可挡
",D:/Project/Python/week14/result/images/109951167493692807.jpg,1463586082,云音乐官方歌单,"介绍：
本歌单精选1970s-1990s的优秀摇滚女主唱乐队、歌手、乐手、唱作人100多余。风格涉及硬摇滚、垃圾摇滚、后朋克、暴女朋克、新浪潮与民谣等。
让我们跟随地下丝绒的Nico回到七十年代，让我们一起聆听蓝调摇滚女王Janis Joplin沙哑又独特的嗓音，和朋克教母Patti Smith一起唱“people have the power~”，与Joan Jett一起感受女性hard rock的力量、还有哥特代表Siouxsie and th Banshees那阴郁又黑暗的独特美学。或许你还会在这个歌单里发现一些未曾耳闻或毫无印象的小众乐队。
让我们一起畅游在这些优秀的女歌手们独一无二的音乐中吧！
",100,902834,2658,22,35
7814021429,"「赵雷｜要像晨曦一样活❤️」发新歌啦！
",D:/Project/Python/week14/result/images/109951168144864983.jpg,1758529817,是清澄阿,"介绍：
赵雷的每一首歌，
都像一部故事片，
有人物、有场景、有剧情，
生活的日常是他的创作的源泉，
真诚质朴的音乐，
仿佛歌中的主角就是我们自己。

再黑的黑夜也会迎来黎明，
再长的坎坷也会出现平路，
怀抱着一棵永不放弃的希望之心，
明天就会有温暖的。
阳光雨露，坚持，
胜利就在你的下一步路！
我们要像晨曦一样的活！
",50,714,0,0,评论
